지표유형,성별,거리,학년,백분위구간,표본N,향상폭_p25(초),향상폭_p50(초),향상폭_p75(초),평균향상폭(초),예측단계,향상속도_AUC(%),백분위_AUC(%),예측력차이(AUC%p),신뢰한계문구
기준선,여,1500,7,전체,50,-8.645,3.694,11.038,3.58,,,,,
기준선,여,1500,8,전체,46,-7.701,1.934,10.02,1.371,,,,,
기준선,여,1500,9,전체,37,-15.829,3.194,7.687,-1.536,,,,,
기준선,여,1500,10,전체,31,-12.32,3.475,12.597,1.899,,,,,
기준선,여,1500,11,전체,27,-11.223,2.182,11.146,1.553,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,12,전체,22,-12.758,-8.095,-2.975,-5.323,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,13,전체,16,-3.603,0.568,9.667,1.116,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,14,전체,13,-8.181,0.336,3.951,-2.794,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,15,전체,15,-11.884,-3.39,9.082,-2.945,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,16,전체,18,-11.214,-8.191,6.463,-2.15,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,17,전체,15,-9.364,-0.54,10.212,0.412,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,18,전체,11,-11.104,-0.392,7.639,-0.559,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,19,전체,7,-12.599,-7.946,7.782,-3.453,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,20,전체,4,-5.432,8.068,22.215,8.715,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,21,전체,3,-22.767,-6.054,2.034,-11.804,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,22,전체,1,-28.464,-28.464,-28.464,-28.464,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,23,전체,1,44.542,44.542,44.542,44.542,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,24,전체,3,-6.822,-5.055,-4.319,-5.743,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,1500,25,전체,1,-2.244,-2.244,-2.244,-2.244,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,2000,1,전체,1,28.473,28.473,28.473,28.473,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,2000,2,전체,2,1.452,2.163,2.875,2.163,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,2000,3,전체,6,20.487,38.27,52.004,37.047,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,2000,4,전체,17,2.837,19.853,26.959,14.402,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,2000,5,전체,23,-27.268,5.561,12.719,-4.299,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,6,전체,3,52.9,56.178,75.18,66.661,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,7,전체,24,-39.868,14.257,71.921,16.058,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,8,전체,23,-45.733,-14.45,49.477,-1.271,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,9,전체,21,-41.842,2.022,43.1,6.133,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,10,전체,10,16.413,45.848,105.96,44.248,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,11,전체,6,2.98,66.419,120.257,61.143,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,14,전체,1,-19.94,-19.94,-19.94,-19.94,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,15,전체,1,-18.502,-18.502,-18.502,-18.502,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,17,전체,3,-5.19,7.625,8.669,-0.222,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,여,3000,21,전체,1,9.519,9.519,9.519,9.519,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
구간비교,남,500,,상위 10%,132,-0.023,0.832,1.829,0.921,,,,,
구간비교,남,500,,10~30%,339,-0.078,0.568,1.325,0.883,,,,,
구간비교,남,500,,30~50%,342,0.022,0.776,1.566,0.933,,,,,
구간비교,남,500,,50% 이하,307,-0.068,0.713,1.845,0.599,,,,,
구간비교,남,1000,,상위 10%,165,-0.996,1.786,5.557,2.621,,,,,
구간비교,남,1000,,10~30%,386,-0.443,1.466,4.459,2.478,,,,,
구간비교,남,1000,,30~50%,410,-0.717,1.849,5.269,2.223,,,,,
구간비교,남,1000,,50% 이하,414,-1.05,2.012,5.491,2.824,,,,,
구간비교,남,1500,,상위 10%,76,-3.273,3.425,11.697,4.362,,,,,
구간비교,남,1500,,10~30%,197,-5.18,3.387,14.147,4.277,,,,,
구간비교,남,1500,,30~50%,187,-5.46,3.329,13.364,4.125,,,,,
구간비교,남,1500,,50% 이하,226,-6.277,3.379,14.348,3.579,,,,,
구간비교,남,2000,,상위 10%,16,8.245,21.504,37.303,16.668,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
